"","Job.Title","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","City","State","Salary","MinSalary","MaxSalary","AvgSalary","MinRevenue","MaxRevenue","AvgRevenue","MinEmployeeCount","MaxEmployeeCount","AvgEmployeeCount","R","C","SQL","Python","C#","JavaScript","Scala","SAS","MATLAB","C++","Perl","Go","TypeScript","Bash","HTML","CSS","PHP","Rust","Kotlin","Ruby","Assembly","Swift","VBA","Groovy","Julia","APL","Crystal","Visual Basic","Mongo","Java","Airflow","Alteryx","ASP.NET","Atlassian","Excel","Power BI","Tableau","Word","Unix","Vue","jQuery","Seaborn","MicroStrategy","SPSS","Visio","AWS","Hadoop","SSIS","Linux","SAP","PowerPoint","SharePoint","Redshift","Snowflake","Qlik","Cognos","Pandas","Spark","Outlook"
"11","Data Scientist",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA","501 to 1000 ","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million ","Leidos, CACI International, Booz Allen Hamilton","Herndon","VA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Data Scientist",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 to 200 ","2016","Company - Private","IT Services","Information Technology",NA,"Slalom, Daugherty Business Solutions","Saint Louis","MO","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"13","Data Scientist - Statistics, Early Career",3.7,"PNNL
3.7","Richland, WA","Richland, WA","1001 to 5000 ","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion ","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","Richland","WA","137000-171000",137000,171000,154000,500000000000000000,1000000000,250000000500000000,1001,5000,3001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Data Modeler",3.1,"Old World Industries
3.1","Northbrook, IL","Northbrook, IL","201 to 500 ","1973","Company - Private","Chemical Manufacturing","Manufacturing","1 to 2 billion ",NA,"Northbrook","IL","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,201,500,351,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"15","Data Scientist",3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ","1001 to 5000 ","1986","Company - Private","Consulting","Business Services","100 to 500 million ",NA,"Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Experienced Data Scientist",4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ","1 to 50 ","1997","Company - Private","Federal Agencies","Government",NA,NA,"Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1,50,26,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"17","Data Scientist - Contract",4.1,"Upside Business Travel
4.1","Remote","Washington, DC","51 to 200 ","2015","Company - Private","Internet","Information Technology",NA,NA,"Remote",NA,"137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Data Scientist",3.5,"Buckman
3.5","Memphis, TN","Memphis, TN","1001 to 5000 ","1945","Company - Private","Chemical Manufacturing","Manufacturing","500 million to 1 billion ",NA,"Memphis","TN","137000-171000",137000,171000,154000,500000000000000000,1000000000,250000000500000000,1001,5000,3001,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"19","Data Analyst II",4.2,"Insight Enterprises, Inc.
4.2","Plano, TX","Tempe, AZ","5001 to 10000 ","1988","Company - Public","Enterprise Software & Network Solutions","Information Technology","5 to 10 billion ","CDW, PCM, SHI International","Plano","TX","137000-171000",137000,171000,154000,5000000000,10000000000,7500000000,5001,10000,7501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"20","Medical Lab Scientist",3.5,"Tower Health
3.5","West Grove, PA","Reading, PA","5001 to 10000 ","2017","Nonprofit Organization","Health Care Services & Hospitals","Health Care",NA,NA,"West Grove","PA","137000-171000",137000,171000,154000,100000000,500000000,300000000,5001,10000,7501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Data Scientist",3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA","51 to 200 ","2015","Company - Private","Computer Hardware & Software","Information Technology",NA,NA,"New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Data Scientist/Machine Learning",4.3,"PulsePoint
4.3","New York, NY","New York, NY","51 to 200 ","2011","Company - Private","Internet","Information Technology","100 to 500 million ","Crossix Solutions Inc., AppNexus, The Trade Desk","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"23","Human Factors Scientist",3.5,"Exponent
3.5","Phoenix, AZ","Menlo Park, CA","1001 to 5000 ","1967","Company - Public","Consulting","Business Services","100 to 500 million ",NA,"Phoenix","AZ","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Business Intelligence Analyst I- Data Insights",3.5,"Guardian Life
3.5","Appleton, WI","New York, NY","5001 to 10000 ","1860","Company - Private","Insurance Carriers","Insurance","5 to 10 billion ","Northwestern Mutual","Appleton","WI","137000-171000",137000,171000,154000,5000000000,10000000000,7500000000,5001,10000,7501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Data Scientist",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 ","1992","Company - Private","Advertising & Marketing","Business Services","10 to 25 million ",NA,"Chicago","IL","137000-171000",137000,171000,154000,10000000,25000000,17500000,51,200,126,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Data Scientist",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 to 200 ","2003","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million ",NA,"Atlanta","GA","137000-171000",137000,171000,154000,25000000,50000000,37500000,51,200,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","Data Scientist - Risk",4.2,"LSQ
4.2","Orlando, FL","Orlando, FL","51 to 200 ","1996","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ",NA,"Orlando","FL","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"28","Data Scientist-Human Resources",3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA","1001 to 5000 ","1951","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense",NA,NA,"Lexington","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"29","Data Scientist",4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA","51 to 200 ","2005","Company - Private","Federal Agencies","Government","25 to 50 million ",NA,"McLean","VA","137000-171000",137000,171000,154000,25000000,50000000,37500000,51,200,126,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Data Scientist",2.8,"Formation
2.8","San Francisco, CA","San Francisco, CA","51 to 200 ","2015","Company - Private","Enterprise Software & Network Solutions","Information Technology",NA,NA,"San Francisco","CA","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31","Data Scientist",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 ","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million ",NA,"Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Data Scientist / Machine Learning Expert",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ",NA,"Cambridge","MA","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","Data Scientist",5,"Cohere Health
5.0","Boston, MA","Boston, MA","1 to 50 ","2019","Company - Private","IT Services","Information Technology",NA,NA,"Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1,50,26,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Senior Research Statistician- Data Scientist",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI","1001 to 5000 ","1925","Company - Private","Insurance Carriers","Insurance","1 to 2 billion ",NA,"Sheboygan","WI","75000-131000",75000,131000,103000,1000000000,2000000000,1500000000,1001,5000,3001,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Data Engineer",3.6,"Chef
3.6","United States","Seattle, WA","201 to 500 ","2008","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million ","Puppet, Ansible, SaltStack","United States",NA,"75000-131000",75000,131000,103000,50000000,100000000,75000000,201,500,351,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Associate Data Scientist",3.3,"Puget Sound Energy
3.3","Bothell, WA","Bellevue, WA","1001 to 5000 ","1999","Company - Private","Utilities","Oil, Gas, Energy & Utilities","2 to 5 billion ",NA,"Bothell","WA","75000-131000",75000,131000,103000,2000000000,5000000000,3500000000,1001,5000,3001,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"37","Business Intelligence Analyst",2.7,"Sandhills Global
2.7","Lincoln, NE","Lincoln, NE","1001 to 5000 ","1978","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million ",NA,"Lincoln","NE","75000-131000",75000,131000,103000,50000000,100000000,75000000,1001,5000,3001,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Data Scientist",2.7,"A Place for Mom
2.7","Overland Park, KS","New York, NY","501 to 1000 ","2000","Company - Private","Health Care Services & Hospitals","Health Care",NA,"Enlivant, Sunrise Senior Living, Brookdale Senior Living","Overland Park","KS","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"39","Data Scientist",2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA","1 to 50 ","2000","Company - Private","Enterprise Software & Network Solutions","Information Technology","1 to 5 million ",NA,"Chantilly","VA","75000-131000",75000,131000,103000,1000000,5000000,3000000,1,50,26,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"40","Senior Analyst/Data Scientist",3.4,"Edmunds.com
3.4","Santa Monica, CA","Santa Monica, CA","501 to 1000 ","1966","Company - Private","Internet","Information Technology","100 to 500 million ","TrueCar, Cars.com, Kelley Blue Book","Santa Monica","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Data Analyst",3.1,"Cambridge Associates, LLC
3.1","Boston, MA","Boston, MA","501 to 1000 ","1973","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ",NA,"Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Machine Learning Engineer",3.4,"Liberty Mutual Insurance
3.4","Portsmouth, NH","Boston, MA","10000 ","1912","Company - Private","Insurance Carriers","Insurance","10 billion ","Travelers, Allstate, State Farm","Portsmouth","NH","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"43","Data Analyst I",2.6,"Cenlar
2.6","Ewing, NJ","Ewing, NJ","1001 to 5000 ","1958","Company - Private",NA,NA,"100 to 500 million ",NA,"Ewing","NJ","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"44","Scientist - Molecular Biology",5,"Arsenal Biosciences
5.0","South San Francisco, CA","South San Francisco, CA","51 to 200 ","2019","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",NA,NA,"South San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Data Scientist",4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA","51 to 200 ","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million ",NA,"Palo Alto","CA","75000-131000",75000,131000,103000,10000000,25000000,17500000,51,200,126,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Computational Scientist, Machine Learning",4.1,"Pfizer
4.1","Cambridge, MA","New York, NY","10000 ","1849","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ",NA,"Cambridge","MA","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"47","Senior Data Scientist",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA","201 to 500 ","2012","Company - Private","Computer Hardware & Software","Information Technology",NA,NA,"Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,201,500,351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Data Scientist",3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA","501 to 1000 ","2000","Company - Private","Investment Banking & Asset Management","Finance",NA,NA,"Bellevue","WA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Data Scientist",3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore","1001 to 5000 ","2016","Government","Federal Agencies","Government",NA,NA,"San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"50","Data Scientist",4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA","201 to 500 ","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology",NA,NA,"Cambridge","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,201,500,351,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
